"student","course","condition","level","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"wjglas","CSC226-001-STADDON-S16","Ensemble_Delay",2,-0.515661114546262,-1.47988340499373,-0.158407257039827,2.30804011206068,0.323806040983133,0.195353841078499,0.1630166229237,-0.692311067157671
"wjglas","CSC226-001-STADDON-S16","Ensemble_Delay",3,-0.0878331007655329,-1.55945489586217,0.0350523418662279,1.54152756562111,0.234968577606035,0.189314650445353,0.08565189265118,-0.759330678890083
"wjglas","CSC226-001-STADDON-S16","Ensemble_Delay",4,1.16117703891131,-1.16553622307939,-0.110871144615905,0.304119595582037,0.744344171621655,0.290665099311347,-0.0363595022815933,-1.0609475443384
"wjglas","CSC226-001-STADDON-S16","Ensemble_Delay",5,3.4627640761294,-0.785558996471495,-0.126030138793901,-0.339818709300244,0.901781817998701,0.249572220095126,-0.701387729608832,-0.909197469239923
"wjglas","CSC226-001-STADDON-S16","Ensemble_Delay",6,4.09277450708877,-0.604490428293117,-0.156964829632501,-0.978036534673616,1.01528104864641,0.330367797504332,-0.762068985215713,-1.02566126928959
"nrconlon","CSC226-001-STADDON-S16","Ensemble_Delay",1,-2.62291202410251,-2.55712471339867,-0.613172149525358,2.2720523134455,0.332367931293051,-0.350827966002726,0.667567691238004,-0.118414797539295
"nrconlon","CSC226-001-STADDON-S16","Ensemble_Delay",2,-1.07098870139152,-2.49564617294337,-0.028050878680636,2.12281001827713,1.2226120399961,-0.480464387917386,0.327472593309054,-0.287408509805567
"nrconlon","CSC226-001-STADDON-S16","Ensemble_Delay",3,-0.271866277574538,-2.51642318223933,-0.26830165071442,1.27596929453334,1.18231876046467,-0.213012098009741,0.345402062341794,-0.512629407202588
"nrconlon","CSC226-001-STADDON-S16","Ensemble_Delay",4,3.04559281727635,-1.69704908819675,0.81856195377183,1.06665899913958,0.9558467519181,-0.601412335864858,0.424573642837404,-0.399549626899946
"nrconlon","CSC226-001-STADDON-S16","Ensemble_Delay",5,3.80266949507899,-1.68561258536905,0.823832806488448,0.455340355942717,0.87021909146274,-0.434371457932546,0.453490459853589,-0.451948508491801
"nrconlon","CSC226-001-STADDON-S16","Ensemble_Delay",6,4.45152837077288,-1.68129505603797,0.950255377246873,0.118729456331181,0.814272880903073,-0.425939680469103,0.411431527370971,-0.469800219492408
"adhayes2","CSC226-001-STADDON-S16","Ensemble_Delay",1,-4.64943498311334,-2.29595847094375,0.0443177192982352,-0.806023109968967,-0.0181257545253001,0.102649362668844,-0.590912275821857,0.23697672898885
"adhayes2","CSC226-001-STADDON-S16","Ensemble_Delay",2,-4.32960733652801,-2.22555343862912,0.3837314477478,-1.35401397791597,0.11307835513827,0.0186229874668009,-0.78597530722103,-0.00021494942706142
"adhayes2","CSC226-001-STADDON-S16","Ensemble_Delay",3,-3.76571028843541,-2.20815841056476,0.108254546259584,-1.89263257083249,0.29911400251082,-0.000894361237302223,-0.789366263333777,-0.134501180883814
"adhayes2","CSC226-001-STADDON-S16","Ensemble_Delay",4,-2.22885920558178,-1.65421307502027,0.53484945776216,-2.06541501948194,1.09757164338248,-0.72052044548962,-1.44803340657021,-0.18801397521826
"adhayes2","CSC226-001-STADDON-S16","Ensemble_Delay",5,-0.313451993461325,-1.40400178418419,0.856339355055696,-1.97557629056976,1.43917593932078,-1.24941974505093,-1.69270897916091,-0.0509254799014639
