"student","course","PC1","PC2","PC3","PC4"
"azrowe","CSC226-001-BARNES-F16",-4.92240446716442,-1.17588034794279,0.744913973424315,2.5136517693847
"pnholton","CSC226-002-BARNES-F16",1.23256082103056,-0.720225549225553,0.454780971859368,0.0199529943016328
"ltmcmill","CSC226-002-BARNES-F16",2.61266325986262,-1.616102338384,0.397945324504645,1.9124333793909
"pkamin","CSC226-001-BARNES-F16",0.290278876547871,0.0156159996702852,0.912588632690286,-4.22216633282633
"asuh","CSC226-002-BARNES-F16",1.53235139912126,3.60351132478498,-0.545658607253544,-0.039137710632617
"zyuan3","CSC226-002-BARNES-F16",0.422462727004712,-1.26834911061564,-0.0828784355830163,1.1819180605498
"wjmeyers","CSC226-002-BARNES-F16",1.67167482144713,1.07140774620595,5.12532196124096,-0.63671515095752
"razeitle","CSC226-002-BARNES-F16",-6.18427386034777,-0.456529970830898,5.0329614463117,1.64101913849066
"slgerald","CSC226-001-BARNES-F16",-6.7098545502808,-0.0180929381378789,3.99922111400597,0.468308212844783
"swang41","CSC226-002-BARNES-F16",-3.36461635561,3.30100698645401,-0.589495517319622,-5.45236870881682
"kmpatel7","CSC226-002-BARNES-F16",2.18823669078523,5.59033315110703,3.8402080683448,-1.09222477910321
"mjcanzia","CSC226-002-BARNES-F16",-1.92996251760024,1.6890888803217,-2.67711758399035,-1.8394725926627
"rkjaouha","CSC226-001-BARNES-F16",1.1334062266606,-2.26834154560426,0.716537287829151,-0.854414184380798
"dpmoody","CSC226-001-BARNES-F16",-2.6953586713724,0.95262275115323,-0.851703064744554,-1.75227982273999
"admaycoc","CSC226-002-BARNES-F16",2.30811073585353,-1.86704199483408,1.32397437136244,0.51772887057181
"dhochst","CSC226-002-BARNES-F16",-2.25981370672374,3.2454500700092,0.661513580803783,1.94061419349036
"jjravi","CSC226-002-BARNES-F16",-0.9609698485876,-1.63319856390368,-0.447931319514269,1.85198783859826
"gkprufer","CSC226-001-BARNES-F16",1.1334890215605,-2.0673388922306,0.373911083904982,-2.83098251599404
"lbgesner","CSC226-001-BARNES-F16",-2.77023538079248,-2.3272681737855,0.727078563349656,-3.31281943828651
"kdmidge2","CSC226-002-BARNES-F16",-3.45933725372876,2.039439956271,-2.91605875059802,-0.393882191973852
"jcwall","CSC226-001-BARNES-F16",-2.26907737911416,-3.51140074382989,-1.34141094784432,-2.02232434611557
"tsstuelk","CSC226-002-BARNES-F16",-1.17050106085108,-3.26702694233007,-1.36588189382125,0.201248246371945
"djbaucom","CSC226-001-BARNES-F16",5.37044272707553,4.93441386112423,1.6853476506164,-0.927521555039633
"cjhall3","CSC226-001-BARNES-F16",2.90197551305632,-4.50856870553593,-1.65212698472811,0.0366399359117087
