"student","course","condition","level","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"jabeichl","CSC226-002-BARNES-F15","Cond 4",3,-0.301099442220723,0.31056467161333,-0.882990153672899,-0.392588117191774,0.0753474618308173,0.79857742002354,-0.863495852783235
"jabeichl","CSC226-002-BARNES-F15","Cond 4",4,1.10230531644786,0.479533499946496,-1.01327934420464,-0.671459163661897,0.42801848564628,0.657192139080395,-0.757748776670937
"jabeichl","CSC226-002-BARNES-F15","Cond 4",5,2.04822197122731,0.540311762543107,-0.887113502750493,-1.18457987154491,0.654722401619734,0.510425176074311,-0.502177836679825
"jabeichl","CSC226-002-BARNES-F15","Cond 4",6,3.46920121547793,0.499278825723918,-0.936544206783953,-1.60022911986626,1.06910072247159,0.848513815971804,-0.273209387521324
"trnielse","CSC226-002-BARNES-F15","Cond 4",1,-4.98688743219779,0.912585853582384,0.140847274162806,-1.70874195124293,-1.07443637772975,-0.303992107638896,-0.362412396196196
"trnielse","CSC226-002-BARNES-F15","Cond 4",2,-4.60861977203376,1.01945676366096,0.67354872340218,-1.71937667344506,-0.85013407530984,-0.25353846583625,-0.144941436128561
"trnielse","CSC226-002-BARNES-F15","Cond 4",3,-4.03436217928247,1.30887420633386,1.01974390635102,-1.47898544717816,-0.568594954072366,-0.259101742873906,0.119207798390847
"trnielse","CSC226-002-BARNES-F15","Cond 4",4,-3.69729577719966,1.38740116071653,1.11135971207346,-1.70092848138173,-0.424086789057251,-0.330177423720529,0.322613872175761
"trnielse","CSC226-002-BARNES-F15","Cond 4",5,-2.49895479372057,-1.46817979800261,1.84184007726049,-1.78197117733291,-0.982256018408677,-1.09912876954918,0.705876933753748
"trnielse","CSC226-002-BARNES-F15","Cond 4",6,-2.09220237653475,-0.99620933502372,1.68029005372932,-1.97528221160796,-0.88279538816785,-1.09304688375259,0.696850806972016
"tnpatill","CSC226-002-BARNES-F15","Cond 4",1,2.98368926832653,-1.59718651471446,-5.3750269216363,1.14424870494012,-2.97255769271224,-0.469496674731136,-2.41303589400504
"tnpatill","CSC226-002-BARNES-F15","Cond 4",2,5.11387964792169,-0.262561537243065,-2.37490320944748,0.188340147754255,-2.59121843880977,-1.34421238930823,-2.34261579920465
"tnpatill","CSC226-002-BARNES-F15","Cond 4",3,6.39166573098171,-0.213792778802797,-2.35989058995903,-0.43098320403268,-1.62067911053947,-1.59156603649031,-1.2734310816555
"tnpatill","CSC226-002-BARNES-F15","Cond 4",4,10.1672512234287,0.205275585274835,-3.12317268984145,-2.25811886818316,-1.52406267467606,-2.211203140734,-0.907799337830018
"tnpatill","CSC226-002-BARNES-F15","Cond 4",5,10.4962151004826,0.240485755279337,-2.86848157788109,-2.69385817770448,-1.18912447648692,-2.29118048142726,-0.454549890531921
"tnpatill","CSC226-002-BARNES-F15","Cond 4",6,11.1511088940595,0.302507254850915,-2.93266591721892,-3.08371961875792,-1.0349810827571,-2.44180220778101,-0.266694343958128
"jlchavez","CSC226-002-BARNES-F15","Cond 4",1,-4.32632907397803,0.850843850528871,0.306284371743171,0.64915741280321,-0.58122573293659,0.280090828257531,-0.132905072078638
"jlchavez","CSC226-002-BARNES-F15","Cond 4",2,-3.6988311724236,-0.782201856074521,1.00747472668056,0.731302494721763,-0.802952992122762,-0.219930453262366,-0.435833609590547
"jlchavez","CSC226-002-BARNES-F15","Cond 4",3,-2.87022531583031,0.185682442291346,0.97439770298105,0.139781271554325,-0.431943460396937,-0.272314719329707,-0.498914347530183
"jlchavez","CSC226-002-BARNES-F15","Cond 4",4,-0.23736363395241,1.14843556582161,0.574885424897468,0.576983680708505,-0.0648801766027685,-0.175016423698472,-0.726094102163759
"jlchavez","CSC226-002-BARNES-F15","Cond 4",5,0.755916989812198,1.27751557532372,0.831164415081698,0.213016152110889,-0.00843599270404334,-0.156180780474025,-0.672131815175677
"jlchavez","CSC226-002-BARNES-F15","Cond 4",6,1.46016880025222,1.44663744540434,0.859517605201161,0.00591749450420181,0.00500798086402972,-0.199208425384977,-0.603763586636397
"sgu","CSC226-002-BARNES-F15","Cond 4",1,-2.25593220869203,1.20383656600982,-1.41078657223205,0.871713606411254,-1.32509971407368,0.856245091771485,-0.426062080347965
"sgu","CSC226-002-BARNES-F15","Cond 4",2,-1.29015334086242,1.76310938040435,-0.317231489748084,0.195052598180682,-1.43494438866459,0.690790117305036,-0.641453654262429
"sgu","CSC226-002-BARNES-F15","Cond 4",3,0.0837044743483977,1.88367504335231,-0.371804343535703,-0.482953264471356,-1.56182370922053,0.746781260483239,-0.354768684065042
"sgu","CSC226-002-BARNES-F15","Cond 4",4,0.88958149665938,1.72149837231818,-0.00490140460909677,-1.1836716851769,-1.63679930679093,1.32527216247524,-0.177128328242693
"sgu","CSC226-002-BARNES-F15","Cond 4",5,1.40744385351025,1.64065330528693,0.404267857422298,-1.77833485482176,-1.42250673254414,1.4699657480595,0.100158292012134
"sgu","CSC226-002-BARNES-F15","Cond 4",6,2.27956577780559,1.79530336441161,0.389424710753869,-1.96316742727093,-1.68845537399408,1.56535369600374,0.111759052834058
"htslaugh","CSC226-001-BITZER-F15","Cond 4",1,-3.94794325274019,-1.39275396409253,-0.794554543023674,1.28889048414456,-1.1075150005029,-0.116998373398195,0.147561782747611
"htslaugh","CSC226-001-BITZER-F15","Cond 4",2,-1.53894888992264,-5.16857696898788,2.44199644445981,0.189295375839752,-1.56477522304966,-1.07692398082234,0.6002551725991
"htslaugh","CSC226-001-BITZER-F15","Cond 4",3,-0.657072830015288,-4.70958519268772,2.36116421248655,-0.523849262885168,-0.88744884653093,-1.09359885640179,0.636996109767729
"htslaugh","CSC226-001-BITZER-F15","Cond 4",4,-0.251354426946596,-4.43561926275107,2.29648765044963,-0.840494871791392,-0.543425952099621,-1.12493471194119,0.616274093927336
"htslaugh","CSC226-001-BITZER-F15","Cond 4",5,0.970934703661659,-4.09539676712118,2.1903876520222,-0.959769982630899,-0.24405652875905,-1.13484509659293,0.609380403143654
"htslaugh","CSC226-001-BITZER-F15","Cond 4",6,1.81472803149158,-3.5391759732575,1.81408565420407,-1.44125008208381,-0.0992458901332792,-1.17806339660906,0.615943089105434
"ptqualke","CSC226-002-BARNES-F15","Cond 4",1,-3.48737101814844,0.820434129774074,1.11550287679605,1.26429436050216,-0.819403530207071,0.723318849328188,-0.358630434973459
"ptqualke","CSC226-002-BARNES-F15","Cond 4",2,-1.66445815239916,1.59302191609564,0.429187265781001,0.502255891634533,-0.86601686359609,0.598405290659027,-1.62373184274731
"ptqualke","CSC226-002-BARNES-F15","Cond 4",3,-0.0336674899055428,2.02196804311044,0.506838799680973,-0.289598305386721,-1.1080493473876,0.47972077377399,-1.43556944557949
"ptqualke","CSC226-002-BARNES-F15","Cond 4",4,1.7157575226068,2.14762610297069,0.469705360207486,-0.867101802429922,-1.14034060644225,0.533972944594348,-1.65309179784334
"ptqualke","CSC226-002-BARNES-F15","Cond 4",5,2.50447872210225,2.19775770415459,0.729018941331554,-1.04714896278643,-0.984212254886452,0.597186748716382,-1.25776703073843
"ptqualke","CSC226-002-BARNES-F15","Cond 4",6,2.90762381411812,2.26300438798163,0.846733390509098,-1.25159739270749,-1.0367770941386,0.639001112556285,-1.1754363638084
